room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5453,8021,Private room,,Jamaica Plain,53,5.0,2,1.0,171.0,1,42.322109,-71.109265,2014-09-25 08:33:57.965
5506,8229,Private room,,Roxbury,30,4.5,2,1.0,165.0,3,42.329809,-71.095595,2014-09-25 09:03:21.127
6695,8229,Entire home/apt,,Roxbury,39,5.0,4,1.0,222.0,3,42.329941,-71.093505,2014-09-25 08:14:31.697
6976,16701,Private room,,Roslindale,26,5.0,2,1.0,74.0,1,42.292438,-71.135765,2014-09-25 08:27:09.290
8789,26988,Entire home/apt,,Downtown,1,5.0,2,1.0,165.0,5,42.359187,-71.062651,2014-09-25 08:38:21.982
8792,26988,Entire home/apt,,Downtown,11,4.5,3,1.0,228.0,5,42.358596,-71.061446,2014-09-25 08:39:47.019
9273,4804,Entire home/apt,,East Boston,8,5.0,4,2.0,257.0,3,42.364608,-71.029021,2014-09-25 08:23:25.919
9765,25188,Entire home/apt,,South End,5,4.5,2,1.0,319.0,3,42.342594,-71.079421,2014-09-25 08:13:51.892
9824,25188,Entire home/apt,,Back Bay,18,4.0,2,1.0,212.0,2,42.349496,-71.085954,2014-09-25 08:43:42.758
9827,25188,Entire home/apt,,Downtown,8,4.5,3,1.0,330.0,3,42.352838,-71.063167,2014-09-25 08:45:51.988
9855,25188,Entire home/apt,,Fenway,3,4.5,3,1.0,291.0,4,42.343371,-71.098708,2014-09-25 09:01:29.797
9857,25188,Entire home/apt,,Beacon Hill,11,4.0,4,2.0,451.0,2,42.356271,-71.074377,2014-09-25 09:02:50.679
9858,25188,Entire home/apt,,Back Bay,0,,5,2.0,512.0,2,42.344471,-71.081786,2014-09-25 09:03:24.195
9860,25188,Entire home/apt,,Beacon Hill,11,3.5,2,1.0,211.0,2,42.356071,-71.072691,2014-09-25 09:04:43.685
9870,25188,Entire home/apt,,South End,3,4.0,2,1.0,273.0,2,42.344227,-71.077878,2014-09-25 09:09:40.512
9903,25188,Entire home/apt,,Mission Hill,0,,2,1.0,296.0,3,42.335296,-71.101462,2014-09-25 09:24:11.871
10730,26988,Entire home/apt,,Downtown,13,4.5,3,1.0,188.0,5,42.358403,-71.06185,2014-09-25 09:54:33.592
10758,38440,Private room,,Allston,0,,1,1.0,131.0,1,42.353449,-71.131797,2014-09-25 07:58:38.978
10807,38440,Private room,,Allston,0,,2,1.0,91.0,1,42.354123,-71.130486,2014-09-25 08:22:16.516
10809,38440,Private room,,Allston,1,4.5,4,1.0,114.0,1,42.354788,-71.132088,2014-09-25 08:23:29.422
10810,38440,Private room,,Allston,0,,2,1.0,97.0,4,42.353359,-71.130344,2014-09-25 08:23:49.025
12356,26988,Entire home/apt,,Beacon Hill,0,,3,1.0,200.0,14,42.358988,-71.063247,2014-09-25 08:29:06.101
12441,25188,Entire home/apt,,Beacon Hill,13,4.0,6,3.0,558.0,3,42.355165,-71.072211,2014-09-25 09:15:04.215
13059,50866,Entire home/apt,,North End,10,4.5,10,3.0,428.0,2,42.363982,-71.050309,2014-09-25 07:56:35.381
13060,50866,Entire home/apt,,North End,32,4.5,5,1.0,257.0,2,42.362409,-71.051612,2014-09-25 07:57:16.420
13247,51637,Entire home/apt,,Back Bay,0,,1,0.0,240.0,7,42.351641,-71.087523,2014-09-25 09:32:18.875
13589,25188,Entire home/apt,,Beacon Hill,21,4.0,6,3.0,515.0,2,42.355804,-71.072751,2014-09-25 08:06:12.052
13592,25188,Entire home/apt,,Beacon Hill,11,3.5,4,2.0,444.0,2,42.355887,-71.072179,2014-09-25 08:07:52.035
18711,71783,Entire home/apt,,Dorchester,14,4.5,6,3.0,205.0,3,42.323286,-71.062103,2014-09-25 08:07:32.841
21337,25188,Entire home/apt,,Back Bay,10,4.5,4,2.0,398.0,4,42.346425,-71.07827,2014-09-25 08:40:34.296
21891,25188,Entire home/apt,,Downtown,16,4.5,4,2.0,398.0,3,42.352179,-71.06316,2014-09-25 09:04:16.607
22100,84651,Entire home/apt,,North End,7,5.0,2,1.0,257.0,3,42.365255,-71.051705,2014-09-25 08:37:51.581
22195,85130,Entire home/apt,,Back Bay,8,3.5,4,0.0,274.0,1,42.347593,-71.07748,2014-09-25 09:26:24.274
22208,25188,Entire home/apt,,South End,3,4.5,2,1.0,257.0,3,42.34321,-71.07776,2014-09-25 09:32:51.012
22212,25188,Entire home/apt,,Back Bay,11,4.5,5,2.0,415.0,3,42.349954,-71.086602,2014-09-25 09:34:54.460
22354,85770,Private room,,South End,123,4.5,1,1.0,126.0,1,42.344957,-71.074857,2014-09-25 08:36:42.245
22869,85130,Entire home/apt,,South End,4,4.5,2,0.0,240.0,1,42.343657,-71.079786,2014-09-25 08:38:24.094
23370,25188,Entire home/apt,,Back Bay,5,4.0,3,1.0,330.0,4,42.346091,-71.078578,2014-09-25 08:32:37.613
23619,93112,Entire home/apt,,Beacon Hill,66,4.5,2,1.0,183.0,4,42.35846,-71.06327,2014-09-25 08:28:46.003
23668,25188,Entire home/apt,,West End,0,,2,1.0,341.0,4,42.363568,-71.068927,2014-09-25 08:55:26.241
24232,97805,Entire home/apt,,Chinatown,52,5.0,2,1.0,154.0,1,42.34698,-71.06398,2014-09-25 09:21:18.015
